Population;Region;Age65;Income;id
8.464.411;Andalucía;17,41;1.980,07;andalucia
1.329.391;Aragón;21,73;2.162,35;aragon
1.018.784;Asturias, Principado de;26,09;2.341,76;asturias
1.171.543;Balears, Illes;15,97;2.124,98;baleares
2.175.952;Canarias;16,54;1.907,78;canarias
582.905;Cantabria;22,29;2.182,91;cantabria
2.394.918;Castilla y León;25,51;2.142,40;castilla-la_mancha
2.045.221;Castilla - La Mancha;19,08;2.089,00;castilla_y_leon
7.780.479;Cataluña;19,22;2.379,25;cataluna
5.057.353;Comunitat Valenciana;19,67;2.085,52;c_valenciana
1.063.987;Extremadura;20,89;1.928,51;extremadura
2.701.819;Galicia;25,44;2.097,56;galicia
6.779.888;Madrid, Comunidad de;17,98;2.408,23;madrid
1.511.251;Murcia, Región de;15,89;1.995,72;murcia
661.197;Navarra, Comunidad Foral de;19,96;2.471,92;navarra
2.220.504;País Vasco;22,84;2.626,86;pais_vasco
319.914;Rioja, La;21,27;2.204,48;la_rioja
84.202;Ceuta;12,42;2.577,35;ceuta
87.076;Melilla;11,09;2.593,97;melilla
